key,value
05:09:15,2
05:09:16,5
05:09:17,2
05:09:18,4
05:09:19,4
05:09:21,4
05:09:22,2
05:09:23,1
05:09:24,3
05:09:25,2
05:09:26,2
05:09:27,2
05:09:28,6
05:09:29,3
05:09:30,2
05:09:31,3
05:09:32,6
05:09:33,4
05:09:34,2
05:09:35,2
05:09:36,1
05:09:37,3
05:09:38,3
05:09:39,4
05:09:40,5
05:09:41,4
05:09:42,4
05:09:43,2
05:09:44,7
05:09:45,3
05:09:46,2
05:09:47,4
05:09:48,1
05:09:49,5
05:09:50,3
05:09:51,1
05:09:52,3
05:09:53,3
05:09:55,5
05:09:56,2
05:09:57,4
05:09:58,3
05:09:59,3
05:10:00,3
05:10:01,5
05:10:02,5
05:10:03,5
05:10:04,4
05:10:05,7
05:10:06,7
05:10:07,3
05:10:08,2
05:10:09,5
05:10:10,2
05:10:11,3
05:10:12,1
05:10:13,7
05:10:14,6
05:10:15,4
05:10:16,2
05:10:17,6
05:10:18,2
05:10:19,6
05:10:20,10
05:10:21,2
05:10:22,4
05:10:23,3
05:10:25,1
05:10:26,3
05:10:27,6
05:10:28,1
05:10:29,2
05:10:30,1
05:10:31,2
05:10:32,4
05:10:33,1
05:10:34,5
05:10:35,2
05:10:36,3
05:10:37,1
05:10:38,2
05:10:39,2
05:10:40,2
05:10:41,4
05:10:42,3
05:10:43,2
05:10:44,3
05:10:45,4
05:10:46,4
05:10:47,1
05:10:48,4
05:10:49,1
05:10:50,2
05:10:51,4
05:10:52,1
05:10:53,3
05:10:54,3
05:10:55,1
05:10:56,1
05:10:58,4
05:10:59,1
05:11:00,2
05:11:01,3
05:11:02,1
05:11:03,2
05:11:04,3
05:11:05,1
05:11:06,3
05:11:08,6
05:11:09,5
05:11:10,3
05:11:11,4
05:11:12,4
05:11:13,3
05:11:15,2
05:11:16,7
05:11:17,2
05:11:18,4
05:11:19,4
05:11:20,1
05:11:21,2
05:11:22,4
05:11:23,3
05:11:24,2
05:11:25,1
05:11:26,2
05:11:27,2
05:11:28,5
05:11:29,4
05:11:30,6
05:11:31,2
05:11:32,1
05:11:33,2
05:11:34,4
05:11:35,2
05:11:36,3
05:11:37,3
05:11:38,5
05:11:39,1
05:11:40,4
05:11:42,1
05:11:44,2
05:11:45,4
05:11:46,2
05:11:47,6
05:11:48,3
05:11:49,1
05:11:50,4
05:11:51,6
05:11:52,4
05:11:53,3
05:11:54,2
05:11:55,2
05:11:56,5
05:11:57,2
05:11:58,5
05:11:59,2
05:12:01,4
05:12:02,2
05:12:03,1
05:12:04,4
05:12:05,6
05:12:06,4
05:12:07,2
05:12:08,2
05:12:09,2
05:12:10,1
05:12:11,4
05:12:12,2
05:12:13,2
05:12:14,2
05:12:15,3
05:12:16,9
05:12:17,3
05:12:18,3
05:12:19,2
05:12:20,3
05:12:21,3
05:12:22,3
05:12:23,3
05:12:25,1
05:12:26,2
05:12:27,2
05:12:28,3
05:12:29,4
05:12:30,4
05:12:31,3
05:12:32,8
05:12:33,2
05:12:34,7
05:12:35,1
05:12:36,1
05:12:37,4
05:12:38,4
05:12:39,6
05:12:40,2
05:12:42,2
05:12:43,4
05:12:44,4
05:12:45,4
05:12:46,5
05:12:47,4
05:12:49,1
05:12:50,2
05:12:51,6
05:12:52,2
05:12:53,3
05:12:54,1
05:12:55,2
05:12:56,3
05:12:58,3
05:12:59,5
05:13:00,3
05:13:01,3
05:13:02,2
05:13:03,17
05:13:04,5
05:13:05,2
05:13:06,6
05:13:07,6
05:13:08,1
05:13:09,2
05:13:11,3
05:13:12,3
05:13:13,1
05:13:14,4
05:13:15,4
05:13:16,3
05:13:18,4
05:13:19,2
05:13:20,2
05:13:21,4
05:13:22,2
05:13:23,5
05:13:24,3
05:13:25,2
05:13:26,2
05:13:27,2
05:13:28,4
05:13:29,2
05:13:30,2
05:13:31,3
05:13:32,2
05:13:33,4
05:13:34,7
05:13:35,2
05:13:36,3
05:13:37,4
05:13:38,3
05:13:39,3
05:13:40,2
05:13:41,2
05:13:42,2
05:13:43,3
05:13:44,2
05:13:45,5
05:13:46,2
05:13:47,3
05:13:48,2
05:13:49,1
05:13:50,2
05:13:51,2
05:13:52,3
05:13:53,8
05:13:54,3
05:13:55,1
05:13:56,2
05:13:57,2
05:13:58,3
05:13:59,2
05:14:00,3
05:14:01,6
05:14:02,2
05:14:03,3
05:14:04,3
05:14:05,3
05:14:06,4
05:14:07,3
05:14:08,2
05:14:09,1
05:14:10,3
05:14:11,4
05:14:12,5
05:14:13,2
